recording_id,known_species,lat,lon,date,detected_species,detected_common,confidence,start_time_s,end_time_s
XC1084935,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.986,3.0,6.0
XC1084937,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.998,3.0,6.0
XC1084937,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.817,6.0,9.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.673,0.0,3.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Pachycephala rufiventris,Rufous Whistler,0.325,0.0,3.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.276,6.0,9.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.832,9.0,12.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.847,12.0,15.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.902,15.0,18.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Colluricincla harmonica,Gray Shrikethrush,0.553,15.0,18.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.99,18.0,21.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Colluricincla harmonica,Gray Shrikethrush,0.457,18.0,21.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.887,21.0,24.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.896,24.0,27.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Menura novaehollandiae,Superb Lyrebird,0.388,27.0,30.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.499,30.0,33.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Corvus coronoides,Australian Raven,0.734,33.0,36.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.449,33.0,36.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.435,36.0,39.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.437,39.0,42.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.328,42.0,45.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.33,45.0,48.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.417,48.0,51.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.335,51.0,54.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Acanthiza lineata,Striated Thornbill,0.3,51.0,54.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.421,54.0,57.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.941,57.0,60.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.422,57.0,60.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.993,60.0,63.0
XC1084936,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Cormobates leucophaea,White-throated Treecreeper,0.503,66.0,69.0
XC1084934,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.961,3.0,6.0
XC1084934,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Edolisoma tenuirostre,Common Cicadabird,0.297,9.0,12.0
XC1084934,Edolisoma tenuirostre,-28.846,152.0499,2026-02-21,Pardalotus punctatus,Spotted Pardalote,0.514,18.0,21.0
XC1088936,Edolisoma tenuirostre,-28.2004,153.1893,2025-02-23,Edolisoma tenuirostre,Common Cicadabird,0.315,3.0,6.0
XC1088936,Edolisoma tenuirostre,-28.2004,153.1893,2025-02-23,Edolisoma tenuirostre,Common Cicadabird,0.913,6.0,9.0
XC1088936,Edolisoma tenuirostre,-28.2004,153.1893,2025-02-23,Edolisoma tenuirostre,Common Cicadabird,0.367,9.0,12.0
XC1088936,Edolisoma tenuirostre,-28.2004,153.1893,2025-02-23,Edolisoma tenuirostre,Common Cicadabird,0.845,12.0,15.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.995,3.0,6.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.99,6.0,9.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.912,9.0,12.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Malurus melanocephalus,Red-backed Fairywren,0.391,9.0,12.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.744,12.0,15.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Malurus melanocephalus,Red-backed Fairywren,0.317,12.0,15.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.977,27.0,30.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.513,36.0,39.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.994,39.0,42.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Malurus melanocephalus,Red-backed Fairywren,0.392,39.0,42.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.904,51.0,54.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.711,54.0,57.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.947,66.0,69.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.935,78.0,81.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.452,81.0,84.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.363,87.0,90.0
XC1086697,Melithreptus albogularis,-29.6266,153.2959,2026-02-20,Melithreptus albogularis,White-throated Honeyeater,0.996,90.0,93.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Sphecotheres vieilloti,Australasian Figbird,0.738,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Oriolus flavocinctus,Green Oriole,0.424,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Ptiloris magnificus,Magnificent Riflebird,0.291,6.0,9.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Ptiloris magnificus,Magnificent Riflebird,0.758,9.0,12.0
XC1080953,Melithreptus albogularis,-15.1972,144.4289,2025-10-30,Oriolus flavocinctus,Green Oriole,0.307,12.0,15.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.753,0.0,3.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.533,3.0,6.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.491,6.0,9.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.854,9.0,12.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.865,12.0,15.0
XC1066686,Melithreptus albogularis,-28.2307,153.1359,2025-10-26,Melithreptus albogularis,White-throated Honeyeater,0.49,15.0,18.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.923,0.0,3.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.994,15.0,18.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.88,18.0,21.0
XC935474,Melithreptus albogularis,-27.8038,153.4284,2024-09-24,Melithreptus albogularis,White-throated Honeyeater,0.93,21.0,24.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.427,12.0,15.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.424,15.0,18.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.688,18.0,21.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.378,24.0,27.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.652,27.0,30.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.371,30.0,33.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Melithreptus albogularis,White-throated Honeyeater,0.631,33.0,36.0
XC822066,Melithreptus albogularis,-12.4422,130.9102,2023-08-04,Philemon buceroides,Helmeted Friarbird,0.354,36.0,39.0
